;City;Name;Ticket;Price;;ID;Room;Date;Website;;Type;Logo;Genre
0;Aarhus C;ASO intro;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32163/47304/;Gratis;1399186813;47304;Kammermusiksalen;2014-05-01T18:30:00;http://www.musikhusetaarhus.dk/kalender/32163/;599;Musik;http://static.billetlugen.dk/images/events/b/32163.jpg;Andet,Gratis
0;Aarhus C;Ida Gard;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32157/43717/;170.00 DKK;1398409215;43717;Lille Sal;2014-04-24T20:00:00;http://www.musikhusetaarhus.dk/kalender/32157/;388;Musik;http://static.billetlugen.dk/images/events/b/32157.jpg;Rock,Pop
0;Aarhus C;ÅMSK elevkoncert;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/20085/45095/;Gratis;1399878017;45095;Caféen;2014-05-11T12:00:00;http://www.musikhusetaarhus.dk/kalender/20085/;415;Musik;http://static.billetlugen.dk/images/events/b/20085.jpg;Familie/børn,Koncert,Gratis
0;Aarhus C;Better than you think - Anders Haglund;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33447/47015/;450.00 DKK;1398495614;47015;Rytmisk Sal;2014-05-13T16:15:00;http://www.musikhusetaarhus.dk/kalender/33447/;582;Musik;http://static.billetlugen.dk/images/events/b/33447.jpg;Foredrag/Kurser
0;Aarhus C;Violinaften;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32877/47911/;Gratis;1399618816;47911;Lok 222;2014-05-08T19:30:00;http://www.musikhusetaarhus.dk/kalender/32877/;645;Musik;http://static.billetlugen.dk/images/events/b/32877.jpg;Klassisk koncert,Gratis
0;Aarhus C;Pigen Med Paraplyerne;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32532/44533/;190.00 - 370.00 DKK;1398582013;44533;Store Sal;2014-04-26T15:00:00;http://www.musikhusetaarhus.dk/kalender/32532/;438;Teater;http://static.billetlugen.dk/images/events/b/32532.jpg;Teater
0;Aarhus C;Den mystiske sag om hunden i natten;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32762/45151/;210.00 - 290.00 DKK;1399878017;45151;Store Sal;2014-05-11T15:00:00;http://www.musikhusetaarhus.dk/kalender/32762/;443;Teater;http://static.billetlugen.dk/images/events/b/32762.jpg;Teater
0;Aarhus C;Slagtøjskoncert;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/17306/47416/;Gratis;1399964418;47416;Kammermusiksalen;2014-05-12T19:30:00;http://www.musikhusetaarhus.dk/kalender/17306/;612;Musik;http://static.billetlugen.dk/images/events/b/17306.jpg;Koncert,Gratis
0;Aarhus C;Bigband-koncert;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/30976/47922/;Gratis;1400828421;47922;Kammermusiksalen;2014-05-22T21:00:00;http://www.musikhusetaarhus.dk/kalender/30976/;649;Musik;http://static.billetlugen.dk/images/events/b/30976.jpg;Koncert,Gratis
0;Aarhus C;Violinaften;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32877/47912/;Gratis;1400914826;47912;Kammermusiksalen;2014-05-23T19:30:00;http://www.musikhusetaarhus.dk/kalender/32877/;650;Musik;http://static.billetlugen.dk/images/events/b/32877.jpg;Klassisk koncert,Gratis
0;Aarhus C;Impressions of Pärth & Nørgård;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33863/47920/;Gratis;1400655619;47920;Kammermusiksalen;2014-05-20T19:30:00;http://www.musikhusetaarhus.dk/kalender/33863/;646;Musik;http://static.billetlugen.dk/images/events/b/33863.jpg;Gratis
0;Aarhus C;Guitaraften;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/22787/47921/;Gratis;1400742019;47921;Kammermusiksalen;2014-05-21T19:30:00;http://www.musikhusetaarhus.dk/kalender/22787/;648;Musik;http://static.billetlugen.dk/images/events/b/22787.jpg;Klassisk koncert,Gratis
0;Aarhus C;Klassiske eksamenskoncerter;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29964/48704/;Gratis;1401778822;48704;Kammermusiksalen;2014-06-02T11:00:00;http://www.musikhusetaarhus.dk/kalender/29964/;787;Musik;http://static.billetlugen.dk/images/events/b/29964.jpg;Klassisk koncert,Gratis
0;Aarhus C;Ukendt Aarhus fotoudstilling;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33509/47148/;Gratis;1397286012;47148;Musikhuset Aarhus;2014-04-11T16:00:00;http://www.musikhusetaarhus.dk/kalender/33509/;577;Andet;http://static.billetlugen.dk/images/events/s/100/45/33509.jpg;null
0;Aarhus C;AM-cafe;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/27013/47929/;Gratis;1401519620;47929;Kammermusiksalen;2014-05-30T15:00:00;http://www.musikhusetaarhus.dk/kalender/27013/;653;Musik;http://static.billetlugen.dk/images/events/b/27013.jpg;Klassisk,Gratis
0;Aarhus C;Sofie Spanget Rasmussen - prædebut, cello;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33866/47925/;Gratis;1401433220;47925;Kammermusiksalen;2014-05-29T19:30:00;http://www.musikhusetaarhus.dk/kalender/33866/;652;Musik;http://static.billetlugen.dk/images/events/b/33866.jpg;Gratis
0;Aarhus C;Violinaften;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32877/47913/;Gratis;1401519620;47913;Kammermusiksalen;2014-05-30T19:30:00;http://www.musikhusetaarhus.dk/kalender/32877/;654;Musik;http://static.billetlugen.dk/images/events/b/32877.jpg;Klassisk koncert,Gratis
0;Aarhus C;Klassiske eksamenskoncerter;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29964/48705/;Gratis;1401865219;48705;Musikhuset Aarhus;2014-06-03T10:00:00;http://www.musikhusetaarhus.dk/kalender/29964/;788;Musik;http://static.billetlugen.dk/images/events/b/29964.jpg;Klassisk koncert,Gratis
0;Aarhus C;Syng i Den Blå;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/17303/43733/;Gratis;1398582013;43733;Caféen;2014-04-26T14:00:00;http://www.musikhusetaarhus.dk/kalender/17303/;317;Musik;http://static.billetlugen.dk/images/events/b/17303.jpg;Familie/børn,Gratis
0;Aarhus C;Orgelkoncert;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/15268/47918/;Gratis;1401260420;47918;Symfonisk Sal;2014-06-04T17:00:00;http://www.musikhusetaarhus.dk/kalender/15268/;656;Musik;http://static.billetlugen.dk/images/events/b/15268.jpg;Klassisk koncert,Gratis
0;Aarhus C;CD release/ koncert - Henrik Bendstrup, cello;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33562/47230/;Gratis;1398582013;47230;Lille Sal;2014-04-26T15:00:00;http://www.musikhusetaarhus.dk/kalender/33562/;592;Musik;http://static.billetlugen.dk/images/events/b/33562.jpg;null
0;Aarhus C;Pigen Med Paraplyerne;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32532/44535/;190.00 - 370.00 DKK;1398582013;44535;Store Sal;2014-04-26T20:00:00;http://www.musikhusetaarhus.dk/kalender/32532/;439;Teater;http://static.billetlugen.dk/images/events/b/32532.jpg;Teater
0;Aarhus C;Morten Ladehoff, orgel;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/33561/47228/;Gratis;1398322812;47228;Symfonisk Sal;2014-04-23T17:00:00;http://www.musikhusetaarhus.dk/kalender/33561/;590;Musik;http://static.billetlugen.dk/images/events/b/33561.jpg;null
0;Aarhus C;Rytmisk Koncertcafé;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/17168/47232/;Gratis;1398754814;47232;Kammermusiksalen;2014-04-28T20:00:00;http://www.musikhusetaarhus.dk/kalender/17168/;594;Musik;http://static.billetlugen.dk/images/events/b/17168.jpg;Koncert,Gratis
0;Aarhus C;Fløjteaften;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/15270/47229/;Gratis;1398495614;47229;Kammermusiksalen;2014-04-25T19:30:00;http://www.musikhusetaarhus.dk/kalender/15270/;591;Musik;http://static.billetlugen.dk/images/events/b/15270.jpg;Klassisk koncert,Gratis
0;Aarhus C;Rune Maahn Christensen, soloklaver;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32740/48011/;Gratis;1400310019;48011;Caféen;2014-05-16T13:00:00;http://www.musikhusetaarhus.dk/kalender/32740/;673;Musik;http://static.billetlugen.dk/images/events/b/32740.jpg;Klassisk koncert,Gratis
0;Aarhus C;Slagtøjskoncert;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/17306/47952/;Gratis;1400310019;47952;Kammermusiksalen;2014-05-16T19:30:00;http://www.musikhusetaarhus.dk/kalender/17306/;674;Musik;http://static.billetlugen.dk/images/events/b/17306.jpg;Koncert,Gratis
0;Aarhus C;Klassiske eksamenskoncerter;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/29964/48709/;Gratis;1402124425;48709;Kammermusiksalen;2014-06-06T10:00:00;http://www.musikhusetaarhus.dk/kalender/29964/;795;Musik;http://static.billetlugen.dk/images/events/b/29964.jpg;Klassisk koncert,Gratis
0;Aarhus C;ASO intro;http://www.billetlugen.dk/referer/?r=266abe1b7fab4562a5c2531d0ae62171&p=/koeb/billetter/32163/47303/;Gratis;1397199607;47303;Kammermusiksalen;2014-04-10T18:30:00;http://www.musikhusetaarhus.dk/kalender/32163/;598;Musik;http://static.billetlugen.dk/images/events/s/100/45/32163.jpg;Andet,Gratis
